old_evcode;new_evcode;todo
   HIGH SURF ADVISORY;High Surf;
  FLASH FLOOD;Flash Flood;
  TSTM WIND;Thunderstorm Wind;
  TSTM WIND (G45);Thunderstorm Wind;
 ?;;REMOVE
 AGRICULTURAL FREEZE;Frost_Freeze;
 APACHE COUNTY;;REMOVE
 ASTRONOMICAL HIGH TIDE;Other;
ASTRONOMICAL LOW TIDE;Astronomical Low Tide;
AVALANCE;Avalanche;
AVALANCHE;Avalanche;
Beach Erosion;Other;
BLACK ICE;Frost_Freeze;
BLIZZARD;Blizzard;
BLIZZARD/WINTER STORM;Blizzard;
BLOWING DUST;Other;
blowing snow;Heavy Snow;
BLOWING SNOW;Heavy Snow;
BREAKUP FLOODING;Flood;
BRUSH FIRE;Wildfire;
COASTAL  FLOODING/EROSION;Coastal Flood;
COASTAL EROSION;Other;
Coastal Flood;Coastal Flood;
COASTAL FLOOD;Coastal Flood;
Coastal Flooding;Coastal Flood;
COASTAL FLOODING;Coastal Flood;
COASTAL FLOODING/EROSION;Coastal Flood;
Coastal Storm;Marine Thunderstorm Wind;
COASTAL STORM;Marine Thunderstorm Wind;
COASTAL SURGE;Coastal Flood;
COASTALSTORM;Marine Thunderstorm Wind;
Cold;Cold_Wind Chill;
COLD;Cold_Wind Chill;
COLD AIR TORNADO;Tornado;
COLD AND SNOW;Cold_Wind Chill;
COLD AND WET CONDITIONS;Cold_Wind Chill;
Cold Temperature;Cold_Wind Chill;
COLD WAVE;Cold_Wind Chill;
COLD WEATHER;Cold_Wind Chill;
COLD/WIND CHILL;Cold_Wind Chill;
COLD/WINDS;Cold_Wind Chill;
COOL AND WET;Other;
DAM BREAK;Flood;
Damaging Freeze;Frost_Freeze;
DAMAGING FREEZE;Frost_Freeze;
DENSE FOG;Dense Fog;
DENSE SMOKE;Dense Smoke;
DOWNBURST;High Wind;
DROUGHT;Drought;
DROUGHT/EXCESSIVE HEAT;Drought;
DROWNING;Drought;
DRY MICROBURST;High Wind;
DRY MIRCOBURST WINDS;High Wind;
Dust Devil;Dust Devil;
DUST DEVIL;Dust Devil;
DUST DEVIL WATERSPOUT;Tornado;
DUST STORM;Dust Storm;
DUST STORM/HIGH WINDS;Dust Storm;
Early Frost;Frost_Freeze;
Erosion/Cstl Flood;Coastal Flood;
EXCESSIVE HEAT;Excessive Heat;
EXCESSIVE RAINFALL;Heavy Rain;
EXCESSIVE SNOW;Heavy Snow;
EXCESSIVE WETNESS;Other;
Extended Cold;Extreme Cold_Wind Chill;
Extreme Cold;Extreme Cold_Wind Chill;
EXTREME COLD;Extreme Cold_Wind Chill;
EXTREME COLD/WIND CHILL;Extreme Cold_Wind Chill;
EXTREME HEAT;Excessive Heat;
EXTREME WIND CHILL;Extreme Cold_Wind Chill;
EXTREME WINDCHILL;Extreme Cold_Wind Chill;
FALLING SNOW/ICE;Ice Storm;
FLASH FLOOD;Flash Flood;
FLASH FLOOD - HEAVY RAIN;Flash Flood;
FLASH FLOOD FROM ICE JAMS;Flash Flood;
FLASH FLOOD LANDSLIDES;Flash Flood;
FLASH FLOOD WINDS;Flash Flood;
FLASH FLOOD/;Flash Flood;
FLASH FLOOD/ STREET;Flash Flood;
FLASH FLOOD/FLOOD;Flash Flood;
FLASH FLOOD/LANDSLIDE;Flash Flood;
FLASH FLOODING;Flash Flood;
FLASH FLOODING/FLOOD;Flash Flood;
FLASH FLOODING/THUNDERSTORM WI;Flash Flood;
FLASH FLOODS;Flash Flood;
FLOOD;Flood;
FLOOD & HEAVY RAIN;Flood;
FLOOD FLASH;Flood;
FLOOD/FLASH;Flood;
FLOOD/FLASH FLOOD;Flood;
FLOOD/FLASH/FLOOD;Flood;
FLOOD/FLASHFLOOD;Flood;
FLOOD/RAIN/WINDS;Flood;
FLOOD/RIVER FLOOD;Flood;
FLOODING;Flood;
FLOODING/HEAVY RAIN;Flood;
FLOODS;Flood;
FOG;Dense Fog;
FOG AND COLD TEMPERATURES;Dense Fog;
FOREST FIRES;Wildfire;
Freeze;Frost_Freeze;
FREEZE;Frost_Freeze;
Freezing drizzle;Frost_Freeze;
Freezing Drizzle;Frost_Freeze;
FREEZING DRIZZLE;Frost_Freeze;
FREEZING FOG;Frost_Freeze;
Freezing Rain;Frost_Freeze;
FREEZING RAIN;Frost_Freeze;
FREEZING RAIN/SLEET;Frost_Freeze;
FREEZING RAIN/SNOW;Frost_Freeze;
Freezing Spray;Frost_Freeze;
FROST;Frost_Freeze;
Frost/Freeze;Frost_Freeze;
FROST/FREEZE;Frost_Freeze;
FROST\FREEZE;Frost_Freeze;
FUNNEL CLOUD;Funnel Cloud;
Glaze;Frost_Freeze;
GLAZE;Frost_Freeze;
GLAZE ICE;Frost_Freeze;
GLAZE/ICE STORM;Ice Storm;
gradient wind;High Wind;
Gradient wind;High Wind;
GRADIENT WIND;High Wind;
GRASS FIRES;Wildfire;
GROUND BLIZZARD;Blizzard;
GUSTNADO;Thunderstorm Wind;
GUSTY WIND;Thunderstorm Wind;
GUSTY WIND/HAIL;Thunderstorm Wind;
GUSTY WIND/HVY RAIN;Thunderstorm Wind;
